id_product;id_product_attribute;variant_sku;quantity;attributes
1626;7371;;0;"Размер: XL | Цвят: бял"
1626;7372;;0;"Размер: 2XL | Цвят: бял"
1628;7378;;0;"Размер: S | Цвят: бял"
1628;7379;;0;"Цвят: бял | Размер: М"
1628;7380;;0;"Цвят: бял | Размер: L"
1628;7381;;0;"Цвят: бял | Размер: XL"
1628;7382;;0;"Цвят: бял | Размер: 2XL"
1632;7398;;0;"Размер: S | Цвят: черен"
1632;7399;;0;"Цвят: черен | Размер: М"
1632;7400;;0;"Цвят: черен | Размер: L"
1632;7401;;0;"Цвят: черен | Размер: XL"
1632;7402;;0;"Цвят: черен | Размер: 2XL"
1639;7428;;0;"Размер: М | Цвят: черен"
1639;7429;;0;"Цвят: черен | Размер: L"
1639;7430;;0;"Размер: XL | Цвят: черен"
1639;7431;;0;"Размер: 2XL | Цвят: черен"
1642;7454;;0;"Цвят: черен | Размер: 3XL"
1642;7455;;0;"Размер: 4XL | Цвят: черен"
1642;7456;;0;"Размер: 5XL | Цвят: черен"
1642;7457;;0;"Размер: 6XL | Цвят: черен"
1649;7477;;0;"Размер: S | Цвят: бял"
1649;7478;;0;"Размер: М | Цвят: бял"
1649;7479;;0;"Цвят: бял | Размер: L"
1649;7480;;0;"Размер: XL | Цвят: бял"
1649;7481;;1;"Цвят: бял | Размер: 2XL"
1652;7507;;0;"Цвят: черен | Размер: S"
1652;7508;;0;"Цвят: черен | Размер: М"
1652;7509;;0;"Размер: L | Цвят: черен"
1652;7510;;0;"Размер: XL | Цвят: черен"
1652;7511;;0;"Цвят: черен | Размер: 2XL"
1653;7492;;0;"Цвят: бял | Размер: S"
1653;7493;;0;"Цвят: бял | Размер: М"
1653;7494;;0;"Размер: L | Цвят: бял"
